Plot,F_06,F_07,F_08,F_09,F_10,F_11,F_12,F_13,F_14,F_15,G_06,G_07,G_08,G_09,G_10,G_11,G_12,G_13,G_14,G_15,LUI_06,LUI_07,LUI_08,LUI_09,LUI_10,LUI_11,LUI_12,LUI_13,LUI_14,LUI_15
AEG13,1.63,1.13,1.07,2.65,5.65,3.35,2.12,2.99,2.77,NA,0,0,0,0,0,0,0,0,0,NA,1.95,1.79,1.74,2.17,2.76,2.28,2,2.22,2.34,NA
AEG14,4.06,3.16,2.98,2.66,2.53,3.13,4.52,0.77,3.6,NA,0,0,0,0,0,0,0,0,0,NA,2.49,2.29,2.23,2.17,2.12,2.23,2.53,1.64,2.32,NA
AEG15,4.21,4.19,3.95,3.57,3.82,2.64,6.75,9.5,4.47,NA,0,0,0,0,0,0,0,0,0,NA,2.73,2.7,2.63,2.58,2.6,2.33,3.09,3.52,2.68,NA
AEG16,1.54,0.77,1.45,0.65,0,0.68,0.27,0.77,0,NA,1.01,0.14,0.13,0.78,0.63,0.75,1.04,1.56,0.95,NA,1.9,1.73,1.88,1.57,1.61,1.54,1.5,1.81,1.36,NA
AEG17,2.63,2.62,2.47,2.23,2.28,0.93,1.06,0.74,0.86,NA,0,0,0,0,0,0,0,0,0,NA,2.42,2.4,2.33,2.07,2.06,1.67,1.72,1.63,1.63,NA
AEG18,6.17,3.16,2.98,2.66,2.38,3.13,4.52,2.15,4.02,NA,0,0,0,0,0,0,0,0,0,NA,3.07,2.51,2.44,2.17,2.08,2.23,2.53,2.24,2.59,NA
AEG19,1.63,1.62,1.53,1.24,0.99,1.3,1.31,1.84,1.52,NA,1.92,6.96,8.21,3.59,0.49,0.91,0.69,1.35,1.35,NA,2.15,3.1,3.27,2.2,1.57,1.77,1.72,1.79,1.69,NA
AEG20,1.63,1.62,1.53,0,0,0,0,0,0,NA,2.35,2.2,2.6,1.41,2.63,1.08,0.63,0.35,0.94,NA,1.99,1.95,2.03,1.19,1.62,1.04,0.8,0.59,0.97,NA
AEG21,12.34,12.26,11.57,7.85,0.22,2.58,1.55,4.8,0.63,NA,6.77,7.9,9.32,6.57,9.22,6.22,2.77,5.52,3.15,NA,4.37,4.49,4.57,3.8,3.23,2.97,2.29,3.21,2.16,NA
AEG22,0,0,0,0,3,0,0,0,1.22,NA,0.12,0,0,0.3,0.26,0.24,0.24,0.98,0.29,NA,1.09,1.02,0.99,1.16,2.06,1.08,1.09,1.39,1.55,NA
AEG23,0,0,0,0,0,0.93,1.06,1.19,0,NA,0,0,0,0,0,0,0,0,0,NA,1.47,1.44,1.4,1.02,0.99,1.67,1.72,1.76,1.34,NA
AEG24,2.65,0,2.49,2.25,1.33,2.35,2.66,3.75,3.08,NA,0.99,0.92,1.09,1.47,1.23,0.8,0.97,1.58,1.17,NA,2.41,1.73,2.36,2.41,2.12,2.24,2.35,2.69,2.64,NA
AEG25,0,0,0,0,1.33,0,0,0,0,NA,0.41,0.38,0.45,0.74,0.47,0.32,0.32,0.28,0.31,NA,0.64,0.62,0.67,0.86,1.34,0.57,0.56,0.53,0.56,NA
AEG26,0,0,0,0,0,0,0,0,0,NA,0.37,2.78,2.11,2.2,2.63,2.21,2.15,1.79,1.71,NA,0.61,1.67,1.45,1.48,1.62,1.49,1.47,1.34,1.31,NA
AEG27,0,0,0,0,0,0,0,0,0,NA,1.34,1.51,1.78,0.92,1.15,0.87,1.02,1.1,1.29,NA,1.16,1.23,1.34,0.96,1.07,0.93,1.01,1.05,1.14,NA
AEG28,0,0,0,0,0,0,0,0,0,NA,0.39,0.35,0.49,0.44,0.55,0.74,1.9,1.45,1.43,NA,0.62,0.59,0.7,0.66,0.74,0.86,1.38,1.2,1.2,NA
AEG29,0.65,0.64,0.61,0.91,0.56,0.24,0,0.76,0,NA,0.37,0.35,0.41,0.56,0.5,1.44,0.84,1.18,0.71,NA,1.45,1.43,1.42,1.58,1.42,1.61,1.34,1.97,1.27,NA
AEG30,0,0,0,0,2.67,0,0,0,0,NA,0.92,0.86,1.02,1.83,1.91,1.51,1.87,2.27,0.82,NA,0.96,0.93,1.01,1.69,2.36,1.56,1.68,1.8,1.62,NA
AEG31,0,0,0,0,0,0,0,0,0,NA,0.44,0.41,0.49,0.73,2.39,1.01,1.35,1.34,0.79,NA,0.66,0.64,0.7,1.33,1.83,1.39,1.52,1.52,1.3,NA
AEG32,0,0,0,0,0,0,0,0,0,NA,0.27,0.25,0.34,0.3,0.45,0.45,0.98,0.79,0.63,NA,0.52,0.5,0.58,0.55,0.67,0.67,0.99,0.89,0.79,NA
AEG33,0,0,0,0,0,0,0,0,0,NA,0.58,2.25,2.65,0.81,1.4,1.17,1.14,1.2,1.13,NA,0.76,1.5,1.63,0.9,1.18,1.08,1.07,1.09,1.06,NA
AEG34,0,0,0,0,0,0,0,0,0,NA,0.42,0.63,1.06,0.95,0.84,1.47,1.47,1.16,1.47,NA,0.65,0.79,1.03,0.97,0.91,1.55,1.55,1.46,1.54,NA
AEG35,1.14,1.13,1.07,0.97,1.27,0.87,0.98,1.84,3.16,NA,0,0,0,0,0,0,0,0,0,NA,1.82,1.79,1.74,1.74,1.79,1.65,1.95,1.94,2.42,NA
AEG36,1.14,1.13,1.07,0.91,2.87,0.87,0.98,1.61,3.16,NA,0,0,0,0,0,0,0.19,0,0,NA,1.82,1.79,1.74,1.73,2.19,1.65,1.75,1.88,2.42,NA
AEG37,1.63,1.13,1.07,2.65,0.99,1.3,2.12,3.37,1.52,NA,0,0,0,0,0,0,0.31,0.21,0,NA,1.95,1.79,1.74,2.17,1.71,2.02,2.08,2.34,1.82,NA
AEG38,1.05,0,0,0,0,1.09,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,1.79,1.44,1.4,1.44,1.4,1.72,1.37,1.39,1.34,NA
